Pos	-	t	n	a	k	g	c	y	r	s	w	m	d	v	b	u	h
4636	0	1	59	94065	0	2	0	0	2	0	1	0	0	0	0	0	0
4637	0	0	59	94071	0	0	0	0	0	0	0	0	0	0	0	0	0
4638	0	0	61	94064	0	3	0	0	0	0	2	0	0	0	0	0	0
4639	0	94071	57	0	0	0	1	0	0	0	1	0	0	0	0	0	0
4640	0	93980	57	0	0	0	93	0	0	0	0	0	0	0	0	0	0
4641	0	94076	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4642	0	0	55	19	0	94056	0	0	0	0	0	0	0	0	0	0	0
4643	0	1	48	0	0	94080	0	0	1	0	0	0	0	0	0	0	0
4644	0	0	48	94081	0	1	0	0	0	0	0	0	0	0	0	0	0
4645	0	0	46	94084	0	0	0	0	0	0	0	0	0	0	0	0	0
4646	0	0	44	0	0	94086	0	0	0	0	0	0	0	0	0	0	0
4647	0	0	37	94092	0	1	0	0	0	0	0	0	0	0	0	0	0
4648	0	0	48	94082	0	0	0	0	0	0	0	0	0	0	0	0	0
4649	0	4	37	0	0	94089	0	0	0	0	0	0	0	0	0	0	0
4650	0	0	38	0	0	0	94092	0	0	0	0	0	0	0	0	0	0
4651	0	94087	39	0	0	1	3	0	0	0	0	0	0	0	0	0	0
4652	0	0	36	0	0	94094	0	0	0	0	0	0	0	0	0	0	0
4653	0	0	34	0	0	0	94096	0	0	0	0	0	0	0	0	0	0
4654	0	94061	34	0	0	1	3	31	0	0	0	0	0	0	0	0	0
4655	0	157	32	1	0	0	93937	3	0	0	0	0	0	0	0	0	0
4656	0	2	32	3	1	94091	1	0	0	0	0	0	0	0	0	0	0
4657	0	25	31	32	1	94040	0	0	1	0	0	0	0	0	0	0	0
4658	0	94094	35	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4659	0	0	3	94125	0	1	0	0	1	0	0	0	0	0	0	0	0
4660	0	94088	37	0	0	0	5	0	0	0	0	0	0	0	0	0	0
4661	0	0	39	94091	0	0	0	0	0	0	0	0	0	0	0	0	0
4662	0	94090	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4663	0	0	41	0	1	94088	0	0	0	0	0	0	0	0	0	0	0
4664	0	0	40	94089	0	0	0	0	0	0	0	1	0	0	0	0	0
4665	0	0	36	2	1	94091	0	0	0	0	0	0	0	0	0	0	0
4666	0	0	5	94124	0	1	0	0	0	0	0	0	0	0	0	0	0
4667	0	94124	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4668	0	74	4	0	0	0	94041	5	0	0	0	6	0	0	0	0	0
4669	0	94126	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4670	0	0	4	0	0	0	94126	0	0	0	0	0	0	0	0	0	0
4671	0	94126	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4672	0	22	4	0	0	0	94102	2	0	0	0	0	0	0	0	0	0
4673	0	0	4	94125	0	0	0	0	1	0	0	0	0	0	0	0	0
4674	0	0	4	94126	0	0	0	0	0	0	0	0	0	0	0	0	0
4675	0	0	11	94118	0	1	0	0	0	0	0	0	0	0	0	0	0
4676	0	1	11	0	0	94118	0	0	0	0	0	0	0	0	0	0	0
4677	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4678	0	1	11	2	1	94115	0	0	0	0	0	0	0	0	0	0	0
4679	0	7	11	0	0	0	94112	0	0	0	0	0	0	0	0	0	0
4680	0	2	11	0	0	0	94117	0	0	0	0	0	0	0	0	0	0
4681	0	0	10	94112	0	7	0	0	1	0	0	0	0	0	0	0	0
4682	0	0	9	1	3	94116	0	0	1	0	0	0	0	0	0	0	0
4683	0	57	9	0	0	0	94060	4	0	0	0	0	0	0	0	0	0
4684	0	94118	9	0	0	1	1	1	0	0	0	0	0	0	0	0	0
4685	0	0	11	94119	0	0	0	0	0	0	0	0	0	0	0	0	0
4686	0	37	12	0	0	0	94080	1	0	0	0	0	0	0	0	0	0
4687	0	7	10	94108	0	5	0	0	0	0	0	0	0	0	0	0	0
4688	0	0	10	0	1	94119	0	0	0	0	0	0	0	0	0	0	0
4689	0	94119	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4690	0	94116	8	0	0	0	5	1	0	0	0	0	0	0	0	0	0
4691	0	94121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4692	0	0	9	0	0	0	94121	0	0	0	0	0	0	0	0	0	0
4693	0	94113	10	0	0	0	6	1	0	0	0	0	0	0	0	0	0
4694	0	0	10	1	1	94118	0	0	0	0	0	0	0	0	0	0	0
4695	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4696	0	94119	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4697	0	94117	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4698	0	7	14	1	0	0	94108	0	0	0	0	0	0	0	0	0	0
4699	0	94114	13	0	0	0	2	1	0	0	0	0	0	0	0	0	0
4700	0	94117	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4701	0	0	12	0	0	0	94116	2	0	0	0	0	0	0	0	0	0
4702	0	0	12	94118	0	0	0	0	0	0	0	0	0	0	0	0	0
4703	0	0	12	0	0	0	94116	2	0	0	0	0	0	0	0	0	0
4704	0	3	12	0	0	0	94114	1	0	0	0	0	0	0	0	0	0
4705	0	94116	12	1	0	0	0	0	0	0	1	0	0	0	0	0	0
4706	0	0	12	1	0	94116	1	0	0	0	0	0	0	0	0	0	0
4707	0	0	12	94118	0	0	0	0	0	0	0	0	0	0	0	0	0
4708	0	94114	11	0	1	0	4	0	0	0	0	0	0	0	0	0	0
4709	0	0	11	0	0	94118	0	0	0	1	0	0	0	0	0	0	0
4710	0	3	11	0	0	0	94116	0	0	0	0	0	0	0	0	0	0
4711	0	94078	11	0	0	0	41	0	0	0	0	0	0	0	0	0	0
4712	0	0	11	0	0	94118	0	0	0	1	0	0	0	0	0	0	0
4713	0	94119	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4714	0	94101	11	1	0	0	17	0	0	0	0	0	0	0	0	0	0
4715	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
4716	0	1	10	0	0	0	94119	0	0	0	0	0	0	0	0	0	0
4717	0	0	10	94119	0	0	0	0	1	0	0	0	0	0	0	0	0
4718	0	1	10	0	1	94118	0	0	0	0	0	0	0	0	0	0	0
4719	0	17	9	0	0	0	94104	0	0	0	0	0	0	0	0	0	0
4720	0	23	10	17	1	94078	0	0	1	0	0	0	0	0	0	0	0
4721	0	94121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4722	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
4723	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4724	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
4725	0	0	10	94119	0	0	0	0	0	0	1	0	0	0	0	0	0
4726	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4727	0	0	10	0	0	94119	0	0	0	1	0	0	0	0	0	0	0
4728	0	2	10	0	0	94118	0	0	0	0	0	0	0	0	0	0	0
4729	0	94118	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0
4730	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4731	0	0	10	94119	0	1	0	0	0	0	0	0	0	0	0	0	0
4732	0	94109	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0
4733	0	1	9	0	0	0	94120	0	0	0	0	0	0	0	0	0	0
4734	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4735	0	94119	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4736	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
4737	0	1	10	0	0	0	94116	3	0	0	0	0	0	0	0	0	0
4738	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4739	0	94119	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4740	0	0	10	0	0	0	94119	1	0	0	0	0	0	0	0	0	0
4741	0	94105	11	0	0	0	13	1	0	0	0	0	0	0	0	0	0
4742	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4743	0	0	10	0	0	0	94120	0	0	0	0	0	0	0	0	0	0
4744	0	94121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4745	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4746	0	1	10	0	0	0	94118	1	0	0	0	0	0	0	0	0	0
4747	0	94116	10	1	0	0	1	1	0	0	1	0	0	0	0	0	0
4748	0	0	11	94118	0	1	0	0	0	0	0	0	0	0	0	0	0
4749	0	0	11	94119	0	0	0	0	0	0	0	0	0	0	0	0	0
4750	0	0	11	94119	0	0	0	0	0	0	0	0	0	0	0	0	0
4751	0	0	11	94119	0	0	0	0	0	0	0	0	0	0	0	0	0
4752	0	28	11	0	0	0	94090	1	0	0	0	0	0	0	0	0	0
4753	0	0	12	94118	0	0	0	0	0	0	0	0	0	0	0	0	0
4754	0	8	12	1	0	0	94108	1	0	0	0	0	0	0	0	0	0
4755	0	52	11	1	0	0	94064	2	0	0	0	0	0	0	0	0	0
4756	0	94112	12	2	0	0	4	0	0	0	0	0	0	0	0	0	0
4757	0	0	12	0	0	94118	0	0	0	0	0	0	0	0	0	0	0
4758	0	0	11	94119	0	0	0	0	0	0	0	0	0	0	0	0	0
4759	0	0	12	94118	0	0	0	0	0	0	0	0	0	0	0	0	0
4760	0	0	11	0	0	94118	1	0	0	0	0	0	0	0	0	0	0
4761	0	0	11	94111	0	7	0	0	0	0	0	1	0	0	0	0	0
4762	0	0	11	94102	0	16	0	0	1	0	0	0	0	0	0	0	0
4763	0	6	11	1	0	0	94112	0	0	0	0	0	0	0	0	0	0
4764	0	0	11	94114	0	5	0	0	0	0	0	0	0	0	0	0	0
4765	0	94114	13	0	0	0	3	0	0	0	0	0	0	0	0	0	0
4766	0	94117	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4767	0	94117	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4768	0	94114	13	0	0	0	3	0	0	0	0	0	0	0	0	0	0
4769	0	1	12	94117	0	0	0	0	0	0	0	0	0	0	0	0	0
4770	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4771	0	94116	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4772	0	0	12	0	0	94116	0	0	2	0	0	0	0	0	0	0	0
4773	0	0	12	94118	0	0	0	0	0	0	0	0	0	0	0	0	0
4774	0	0	12	94116	0	2	0	0	0	0	0	0	0	0	0	0	0
4775	0	0	12	94118	0	0	0	0	0	0	0	0	0	0	0	0	0
4776	0	31	12	0	0	0	94087	0	0	0	0	0	0	0	0	0	0
4777	0	10	12	0	0	0	94108	0	0	0	0	0	0	0	0	0	0
4778	0	0	12	94114	0	4	0	0	0	0	0	0	0	0	0	0	0
4779	0	94110	12	0	0	0	8	0	0	0	0	0	0	0	0	0	0
4780	0	56	12	1	0	0	94060	1	0	0	0	0	0	0	0	0	0
4781	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4782	0	4	12	0	0	0	94113	1	0	0	0	0	0	0	0	0	0
4783	0	1	12	94117	0	0	0	0	0	0	0	0	0	0	0	0	0
4784	0	21	12	0	0	0	94096	1	0	0	0	0	0	0	0	0	0
4785	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4786	0	94115	13	1	0	0	0	1	0	0	0	0	0	0	0	0	0
4787	0	0	13	0	0	94115	0	0	0	2	0	0	0	0	0	0	0
4788	0	6	12	0	0	0	94112	0	0	0	0	0	0	0	0	0	0
4789	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4790	0	0	12	2	0	94116	0	0	0	0	0	0	0	0	0	0	0
4791	0	0	13	0	0	94117	0	0	0	0	0	0	0	0	0	0	0
4792	0	94117	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4793	0	94117	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4794	0	8	13	0	0	0	94106	3	0	0	0	0	0	0	0	0	0
4795	0	45	14	4	0	0	94066	1	0	0	0	0	0	0	0	0	0
4796	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4797	0	1	12	94117	0	0	0	0	0	0	0	0	0	0	0	0	0
4798	0	94117	11	0	0	0	1	0	0	0	1	0	0	0	0	0	0
4799	0	0	13	94117	0	0	0	0	0	0	0	0	0	0	0	0	0
4800	0	0	14	94114	0	1	0	0	1	0	0	0	0	0	0	0	0
4801	0	0	16	94108	0	6	0	0	0	0	0	0	0	0	0	0	0
4802	0	0	16	2	0	94111	0	0	1	0	0	0	0	0	0	0	0
4803	0	0	16	94093	0	18	2	0	1	0	0	0	0	0	0	0	0
4804	0	94113	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4805	0	94114	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4806	0	0	14	0	0	94116	0	0	0	0	0	0	0	0	0	0	0
4807	0	0	14	0	0	94116	0	0	0	0	0	0	0	0	0	0	0
4808	0	94116	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4809	0	38	14	0	0	0	94078	0	0	0	0	0	0	0	0	0	0
4810	0	19	14	5	0	0	94090	2	0	0	0	0	0	0	0	0	0
4811	0	94116	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4812	0	0	14	94116	0	0	0	0	0	0	0	0	0	0	0	0	0
4813	0	94117	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4814	0	94117	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4815	0	15	13	0	0	0	94094	8	0	0	0	0	0	0	0	0	0
4816	0	94117	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4817	0	0	12	0	1	94117	0	0	0	0	0	0	0	0	0	0	0
4818	0	0	12	0	1	94117	0	0	0	0	0	0	0	0	0	0	0
4819	0	0	12	94118	0	0	0	0	0	0	0	0	0	0	0	0	0
4820	0	0	12	0	0	0	94118	0	0	0	0	0	0	0	0	0	0
4821	0	0	11	94119	0	0	0	0	0	0	0	0	0	0	0	0	0
4822	0	0	11	94116	0	0	1	0	2	0	0	0	0	0	0	0	0
4823	0	94119	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4824	0	5	11	1	0	0	94113	0	0	0	0	0	0	0	0	0	0
4825	0	94118	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4826	0	0	10	94117	0	2	0	0	1	0	0	0	0	0	0	0	0
4827	0	10	10	0	0	0	94110	0	0	0	0	0	0	0	0	0	0
4828	0	0	10	94119	0	1	0	0	0	0	0	0	0	0	0	0	0
4829	0	0	10	0	0	0	94118	2	0	0	0	0	0	0	0	0	0
4830	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
4831	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
4832	0	96	13	0	0	0	94014	6	0	0	0	1	0	0	0	0	0
4833	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4834	0	1	10	94115	0	3	0	0	0	0	1	0	0	0	0	0	0
4835	0	0	10	0	0	94120	0	0	0	0	0	0	0	0	0	0	0
4836	0	1	10	0	0	94119	0	0	0	0	0	0	0	0	0	0	0
4837	0	94119	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4838	0	0	9	94094	0	26	0	0	1	0	0	0	0	0	0	0	0
4839	0	94118	9	0	0	0	2	1	0	0	0	0	0	0	0	0	0
4840	0	0	10	94119	0	0	1	0	0	0	0	0	0	0	0	0	0
4841	0	0	10	1	0	94119	0	0	0	0	0	0	0	0	0	0	0
4842	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
4843	0	0	10	94119	0	1	0	0	0	0	0	0	0	0	0	0	0
4844	0	94118	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4845	0	94119	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4846	0	94118	10	0	0	1	1	0	0	0	0	0	0	0	0	0	0
4847	0	1	9	1	0	0	94119	0	0	0	0	0	0	0	0	0	0
4848	0	94120	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4849	0	94119	9	0	0	0	1	0	0	0	1	0	0	0	0	0	0
4850	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
4851	0	0	9	94114	0	6	0	0	1	0	0	0	0	0	0	0	0
4852	0	0	9	1	0	94120	0	0	0	0	0	0	0	0	0	0	0
4853	0	0	9	94120	0	0	1	0	0	0	0	0	0	0	0	0	0
4854	0	0	9	0	25	94096	0	0	0	0	0	0	0	0	0	0	0
4855	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
4856	0	0	9	0	2	94119	0	0	0	0	0	0	0	0	0	0	0
4857	0	0	9	0	0	94121	0	0	0	0	0	0	0	0	0	0	0
4858	0	94120	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4859	0	0	9	1	0	94120	0	0	0	0	0	0	0	0	0	0	0
4860	0	0	9	94115	0	5	0	0	1	0	0	0	0	0	0	0	0
4861	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4862	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
4863	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
4864	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
4865	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
4866	0	13	9	5	0	94099	1	0	3	0	0	0	0	0	0	0	0
4867	0	94117	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0
4868	0	0	10	1	0	94118	0	0	1	0	0	0	0	0	0	0	0
4869	0	94119	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4870	0	1	11	94108	0	7	1	0	2	0	0	0	0	0	0	0	0
4871	0	94115	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0
4872	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
4873	0	94119	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4874	0	94117	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0
4875	0	0	10	94119	0	1	0	0	0	0	0	0	0	0	0	0	0
4876	0	12	10	0	0	0	94108	0	0	0	0	0	0	0	0	0	0
4877	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
4878	0	44	10	0	0	0	94076	0	0	0	0	0	0	0	0	0	0
4879	5	94113	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4880	5	0	11	94114	0	0	0	0	0	0	0	0	0	0	0	0	0
4881	5	2	11	2	0	94110	0	0	0	0	0	0	0	0	0	0	0
4882	0	94121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4883	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
4884	0	0	10	94117	0	3	0	0	0	0	0	0	0	0	0	0	0
4885	0	94100	8	0	0	0	21	1	0	0	0	0	0	0	0	0	0
4886	0	20	9	0	0	0	94098	2	0	0	0	1	0	0	0	0	0
4887	0	3	8	0	0	0	94118	1	0	0	0	0	0	0	0	0	0
4888	0	94120	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4889	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
4890	0	103	8	0	0	0	94016	3	0	0	0	0	0	0	0	0	0
4891	0	15	9	0	0	0	94102	4	0	0	0	0	0	0	0	0	0
4892	0	0	8	94119	0	3	0	0	0	0	0	0	0	0	0	0	0
4893	0	37	9	1	0	0	94078	5	0	0	0	0	0	0	0	0	0
4894	0	1	8	94118	0	0	2	0	1	0	0	0	0	0	0	0	0
4895	0	94121	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4896	0	94120	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4897	0	33	8	0	0	0	94089	0	0	0	0	0	0	0	0	0	0
4898	0	6	10	6	0	0	94108	0	0	0	0	0	0	0	0	0	0
4899	0	0	10	94114	0	6	0	0	0	0	0	0	0	0	0	0	0
4900	0	15	11	2	0	0	94101	1	0	0	0	0	0	0	0	0	0
4901	0	15	11	2	0	0	94098	3	0	0	0	1	0	0	0	0	0
4902	0	94116	12	0	0	0	1	0	0	0	1	0	0	0	0	0	0
4903	0	0	11	94114	0	2	3	0	0	0	0	0	0	0	0	0	0
4904	0	68	10	0	1	94051	0	0	0	0	0	0	0	0	0	0	0
4905	0	1	10	94117	0	1	1	0	0	0	0	0	0	0	0	0	0
4906	0	94119	9	0	0	1	0	1	0	0	0	0	0	0	0	0	0
4907	0	6	9	1	0	94114	0	0	0	0	0	0	0	0	0	0	0
4908	0	0	9	5	4	94110	0	0	2	0	0	0	0	0	0	0	0
4909	0	94121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4910	0	0	9	0	2	94118	1	0	0	0	0	0	0	0	0	0	0
4911	0	0	9	94119	0	2	0	0	0	0	0	0	0	0	0	0	0
4912	0	0	10	94111	0	0	9	0	0	0	0	0	0	0	0	0	0
4913	0	19	10	1	1	94099	0	0	0	0	0	0	0	0	0	0	0
4914	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4915	0	94117	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4916	0	0	11	94115	0	1	2	0	1	0	0	0	0	0	0	0	0
4917	0	94115	11	0	0	0	3	1	0	0	0	0	0	0	0	0	0
4918	0	3	10	0	0	0	94116	1	0	0	0	0	0	0	0	0	0
4919	0	0	10	94118	0	1	0	0	1	0	0	0	0	0	0	0	0
4920	0	0	10	0	0	0	94120	0	0	0	0	0	0	0	0	0	0
4921	0	1	10	0	0	0	94116	3	0	0	0	0	0	0	0	0	0
4922	0	94118	10	0	0	0	1	1	0	0	0	0	0	0	0	0	0
4923	0	94118	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4924	0	94115	12	0	0	0	3	0	0	0	0	0	0	0	0	0	0
4925	0	10	13	0	0	94107	0	0	0	0	0	0	0	0	0	0	0
4926	0	0	13	93975	0	0	142	0	0	0	0	0	0	0	0	0	0
4927	0	33	13	0	0	0	94078	6	0	0	0	0	0	0	0	0	0
4928	0	1	15	94113	0	1	0	0	0	0	0	0	0	0	0	0	0
4929	0	0	15	94115	0	0	0	0	0	0	0	0	0	0	0	0	0
4930	0	94113	15	0	0	0	1	1	0	0	0	0	0	0	0	0	0
4931	0	20	16	70	0	0	94021	3	0	0	0	0	0	0	0	0	0
4932	0	94114	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4933	0	94111	15	1	0	0	3	0	0	0	0	0	0	0	0	0	0
4934	0	0	17	94112	0	0	0	0	0	0	0	1	0	0	0	0	0
4935	0	0	16	94113	0	0	0	0	0	0	0	1	0	0	0	0	0
4936	0	2	18	4	0	94104	1	0	0	1	0	0	0	0	0	0	0
4937	0	0	18	94111	0	1	0	0	0	0	0	0	0	0	0	0	0
4938	0	0	16	0	0	0	94114	0	0	0	0	0	0	0	0	0	0
4939	0	0	17	94112	0	0	0	0	1	0	0	0	0	0	0	0	0
4940	0	4	15	4	0	0	94106	0	0	0	0	1	0	0	0	0	0
4941	0	94106	16	0	0	1	0	7	0	0	0	0	0	0	0	0	0
4942	0	94116	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4943	0	0	15	1	0	0	94114	0	0	0	0	0	0	0	0	0	0
4944	0	94115	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4945	0	94115	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4946	0	94093	13	0	1	19	4	0	0	0	0	0	0	0	0	0	0
4947	0	1	14	0	0	0	94115	0	0	0	0	0	0	0	0	0	0
4948	0	94114	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0
4949	0	94095	15	0	0	0	20	0	0	0	0	0	0	0	0	0	0
4950	0	94115	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4951	0	0	14	2	0	94114	0	0	0	0	0	0	0	0	0	0	0
4952	0	0	14	94116	0	0	0	0	0	0	0	0	0	0	0	0	0
4953	0	0	14	0	0	94116	0	0	0	0	0	0	0	0	0	0	0
4954	0	0	14	94112	0	4	0	0	0	0	0	0	0	0	0	0	0
4955	0	0	11	1	0	94118	0	0	0	0	0	0	0	0	0	0	0
4956	0	0	11	94115	0	3	0	0	1	0	0	0	0	0	0	0	0
4957	0	0	12	94117	0	1	0	0	0	0	0	0	0	0	0	0	0
4958	0	1	10	10	0	94109	0	0	0	0	0	0	0	0	0	0	0
4959	0	94120	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4960	0	142	9	0	3	93975	0	0	1	0	0	0	0	0	0	0	0
4961	0	0	9	94119	0	0	2	0	0	0	0	0	0	0	0	0	0
4962	0	7	9	3	1	94110	0	0	0	0	0	0	0	0	0	0	0
4963	0	7	8	1	0	94113	0	0	0	1	0	0	0	0	0	0	0
4964	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
4965	0	168	10	4	0	0	93944	4	0	0	0	0	0	0	0	0	0
4966	0	94119	9	1	0	0	1	0	0	0	0	0	0	0	0	0	0
4967	0	0	4	94107	0	19	0	0	0	0	0	0	0	0	0	0	0
4968	0	94122	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0
4969	0	94125	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4970	0	0	4	94126	0	0	0	0	0	0	0	0	0	0	0	0	0
4971	0	0	4	94126	0	0	0	0	0	0	0	0	0	0	0	0	0
4972	0	0	4	1	0	94125	0	0	0	0	0	0	0	0	0	0	0
4973	0	0	4	0	2	94124	0	0	0	0	0	0	0	0	0	0	0
4974	0	94125	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4975	0	15	4	1	0	94110	0	0	0	0	0	0	0	0	0	0	0
4976	0	94125	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4977	0	94126	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4978	0	94126	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4979	0	0	3	94127	0	0	0	0	0	0	0	0	0	0	0	0	0
4980	0	1	4	0	0	0	94123	2	0	0	0	0	0	0	0	0	0
4981	0	0	4	94120	0	2	0	0	1	0	3	0	0	0	0	0	0
4982	0	0	4	94125	0	1	0	0	0	0	0	0	0	0	0	0	0
4983	0	0	4	0	0	0	94125	0	0	1	0	0	0	0	0	0	0
4984	0	1	9	94118	0	1	0	0	1	0	0	0	0	0	0	0	0
4985	0	0	9	0	0	94121	0	0	0	0	0	0	0	0	0	0	0
4986	0	94122	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4987	0	0	8	94119	0	2	1	0	0	0	0	0	0	0	0	0	0
4988	0	0	8	0	0	94122	0	0	0	0	0	0	0	0	0	0	0
4989	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
4990	0	6	7	0	0	0	94114	3	0	0	0	0	0	0	0	0	0
4991	0	0	8	94121	0	0	0	0	0	0	0	1	0	0	0	0	0
4992	0	0	8	94122	0	0	0	0	0	0	0	0	0	0	0	0	0
4993	0	69	8	0	0	0	94050	3	0	0	0	0	0	0	0	0	0
4994	0	0	8	94119	0	2	0	0	0	0	0	1	0	0	0	0	0
4995	0	94121	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4996	0	94048	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4997	0	0	83	94047	0	0	0	0	0	0	0	0	0	0	0	0	0
4998	0	0	83	94047	0	0	0	0	0	0	0	0	0	0	0	0	0
4999	0	56	84	0	0	0	93983	7	0	0	0	0	0	0	0	0	0
5000	0	15	83	1	0	0	94029	1	0	0	0	1	0	0	0	0	0
5001	0	94046	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5002	0	14	88	0	0	0	94028	0	0	0	0	0	0	0	0	0	0
